Ref,Componente,Valor,Footprint,LCSC_Part,Descripcion,Precio_Unit_USD,Qty_10u_USD,Qty_50u_USD,Qty_100u_USD
R11,R_0402,10k,Resistor_SMD:R_0402_1005Metric,C25744,Pull-up Vout PPD42,0.01,0.10,0.07,0.05
,,,,,,,,
EXTERNO,,,,,,,,
PPD42_MOD,Sensor polvo PPD42,N/A,N/A,N/A,Modulo externo sensor PM10 (Shinyei),8.00,80.00,60.00,50.00
MQ2_CHIP,MQ-2 bare chip,N/A,N/A,N/A,Sensor gas bare chip (soldar a pads J4),1.20,12.00,9.50,8.00
,,,,,,,,
PCB,,,,,,,,
PCB_FAB,JLCPCB 2 capas FR4,70x55mm,N/A,N/A,Fabricacion PCB JLCPCB (10u min),0.80,8.00,4.50,3.20
,,,,,,,,
RESUMEN COSTOS,,,,,,,,
TOTAL_PCB+SMD,Solo componentes PCB,,,,USD por unidad,9.05,90.50,68.00,55.00
TOTAL_EXTERNO,PPD42 + MQ-2 externo,,,,USD por unidad,9.20,92.00,69.50,58.00
TOTAL_COMPLETO,Todo incluyendo PCB,,,,USD por unidad,17.25,172.50,129.00,107.00
AHORRO_VS_ACTUAL,Sistema actual ~$80-100 por nodo,,,,Ahorro estimado,~78%,vs $80-100 cada uno,,
